name,cards.nodes.note,cards.nodes.content.id,cards.nodes.content.number,cards.nodes.content.title,cards.nodes.content,cards.pageInfo.hasNextPage,cards.pageInfo.endCursor,cards.totalCount
In Progress 🏃‍♂️,,MDU6SXNzdWU2ODI4NzQ1Njk=,726,SECRET PROJECT,,,,
In Progress 🏃‍♂️,https://github.com/department-of-veterans-affairs/github-exporter/issues/45,MDU6SXNzdWU2ODI4NzQ1Njk=,726,SECRET PROJECT,,,,
In Progress 🏃‍♂️,"https://github.com/department-of-veterans-affairs/github-exporter/issues/43
",MDU6SXNzdWU2ODI4NzQ1Njk=,726,SECRET PROJECT,,,,
In Progress 🏃‍♂️,"https://github.com/department-of-veterans-affairs/github-exporter/issues/43
",MDU6SXNzdWU2ODI4MDI4MTU=,725,Meeting notes: GitHub Onboarding VA,,false,MTM,13
Needs Review 👀,,MDU6SXNzdWU2ODI4NzUzNzk=,727,Recurring job to run inactive users report,,,,
Needs Review 👀,,MDU6SXNzdWU3MDM4ODc0MzI=,818,DMLSS Migration,,,,
Needs Review 👀,,MDU6SXNzdWU2OTg0NjMwNDE=,796,Prep for Visual Studio & GitHub Webinar,,,,
Needs Review 👀,,MDU6SXNzdWU2Nzc5MDcwNDg=,702,User invite auditing admin guide (how to),,false,NA,4
Blocked 🛑,https://github.com/department-of-veterans-affairs/github-exporter/issues/44,,,,,,,
Blocked 🛑,https://github.com/department-of-veterans-affairs/github-exporter/issues/44,MDU6SXNzdWU2NDUwMDYzNDU=,536,Unable to publish helm tarballs to GitHub Package Repository - DOTS Request,,,,
Blocked 🛑,https://github.com/department-of-veterans-affairs/github-exporter/issues/44,MDU6SXNzdWU2NTAxMjI4NDY=,569,Netskope Security <> GitHub Integration,,,,
Blocked 🛑,https://github.com/department-of-veterans-affairs/github-user-requests/issues/3461,MDU6SXNzdWU2NTAxMjI4NDY=,569,Netskope Security <> GitHub Integration,,false,NA,4
Done 🥳,,MDU6SXNzdWU2NzYzODUxMzM=,691,Create process for adding domains to allowlist for automatically inviting users,,,,
Done 🥳,,MDU6SXNzdWU2NzYzODczNTA=,692,Enhance add user action to accept a list of domains in allowlist,,,,
Done 🥳,,MDU6SXNzdWU3MDQ2NTc4NDU=,828,TBAA Migration,,,,
Done 🥳,,MDU6SXNzdWU2OTIyODYwNDU=,780,BFFS Migration,,,,
Done 🥳,,MDU6SXNzdWU2OTIyODU5NTE=,779,Federal Case Mgmt Migration,,,,
Done 🥳,,MDU6SXNzdWU3MDM4ODY5MDE=,817,MASS Migration,,,,
Done 🥳,,MDU6SXNzdWU2OTEyNzg2NDQ=,775,Advanced Security Slack marketing,,,,
Done 🥳,,MDU6SXNzdWU2ODM4Njc0ODA=,736,Follow up with Richard about SSL issues with VS,,,,
Done 🥳,,MDU6SXNzdWU2Mzk3MzA3MTg=,506,VA Monitoring for user invitations,,,,
Done 🥳,,MDU6SXNzdWU2NDgzNTQ0ODc=,560,"Contact users on the ""using actions"" list and solicit engagements for advancing their CI/CD and security consultations",,,,
Done 🥳,,MDU6SXNzdWU2NzUwOTExNTc=,681,Gather Org Emails in usage report,,,,
Done 🥳,,MDU6SXNzdWU2NTg1NDY5MjQ=,622,JenkinsX and forking policy,,,,
Done 🥳,,MDU6SXNzdWU2Nzg3MTc2NzM=,709,Starting a new Community of Practice,,,,
Done 🥳,https://github.com/department-of-veterans-affairs/export-issues/issues/19,MDU6SXNzdWU2Nzg3MTc2NzM=,709,Starting a new Community of Practice,,,,
Done 🥳,https://github.com/department-of-veterans-affairs/export-issues/issues/19,MDU6SXNzdWU2Mzk4MTQ5MjE=,509,Auto-assign team when GitHub Access Request cannot auto-invite user,,,,
Done 🥳,https://github.com/department-of-veterans-affairs/export-issues/issues/19,MDU6SXNzdWU2NDUwMDcwMDU=,537,Automate kicking off Fortify scans in GH Actions,,,,
